StudyCode,orien1,orien2,orien3,orien4,orien5,orien6
PS15_029,1,0,0,0,1,0
PS15_025,1,0,0,0,1,0
PS15_023,1,0,0,0,1,0
PS15_038,1,0,0,0,1,0
PS14_106,1,0,0,0,1,0
PS15_044,1,0,0,0,1,0
PS15_046,1,0,0,0,1,0
PS15_041,1,0,0,0,1,0
PS15_039,1,0,0,0,1,0
PS15_037,1,0,0,0,1,0
PS15_052,1,0,0,0,1,0
PS15_057,1,0,0,0,1,0
PS15_053,1,0,0,0,1,0
PS15_051,1,0,0,0,1,0
PS15_032,1,0,0,0,1,0
PS15_031,1,0,0,0,1,0
PS15_071,1,0,0,0,1,0
PS15_049,1,0,0,0,1,0
CL_DEV_001,1,0,0,0,0.99655,-0.082946
PS15_045,1,0,0,0,1,0
PS15_047,1,0,0,0,1,0
PS15_048,1,0,0,0,1,0
PS15_055,1,0,0,0,1,0
PS15_016,1,0,0,0,1,0
PS15_068,1,0,0,0,1,0
PS15_085,1,0,0,0,1,0
CL_DEV_002,1,0,0,0,1,0
PS15_060,1,0,0,0,1,0
PS15_056,1,0,0,0,1,0
PS15_061,1,0,0,0,1,0
PS15_062,1,0,0,0,1,0
PS15_063,1,0,0,0,1,0
PS15_078,1,0,0,0,1,0
PS15_042,1,0,0,0,1,0
PS15_040,1,0,0,0,1,0
PS15_094,1,0,0,0,1,0
PS15_084,1,0,0,0,1,0
PS15_059,1,0,0,0,1,0
PS15_081,1,0,0,0,1,0
PS15_086,1,0,0,0,1,0
PS15_103,1,0,0,0,1,0
PS15_099,1,0,0,0,1,0
PS15_102,1,0,0,0,1,0
PS15_093,1,0,0,0,1,0
PS15_090,1,0,0,0,1,0
PS15_095,1,0,0,0,1,0
PS15_082,1,0,0,0,1,0
PS15_079,1,0,0,0,1,0
PS15_077,1,0,0,0,1,0
CL_DEV_004,1,0,0,0,1,0
PS15_087,1,0,0,0,1,0
PS15_092,1,0,0,0,1,0
PS15_123,1,0,0,0,1,0
PS15_089,1,0,0,0,1,0
